PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS type;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;end user throughput for DL[kbps]: QCI-1_DL;end user throughput for DL[kbps]: QCI-5_DL;end user throughput for DL[kbps]: QCI-9_DL;end user throughput for UL[kbps]: QCI-1_UL;end user throughput for UL[kbps]: QCI-5_UL;end user throughput for UL[kbps]: QCI-9_UL;Latency: Ave_Latency_DL;Latency: Ave_Latency_UL
04.14.2020 09:45:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;;;952.00;16.00;24.00;0.00
04.14.2020 10:00:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;1440.00;;;604.80;12.00;0.00
04.14.2020 10:15:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;;;1856.00;;4.00;0.00
04.14.2020 10:30:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;5680.06;;;146.90;28.00;0.00
04.14.2020 10:45:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;;;;;0.00;0.00
04.14.2020 11:00:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;;;;;0.00;0.00
04.14.2020 11:15:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;2153.70;;;37.81;9.00;0.00
04.14.2020 11:30:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;451.66;4947.67;;13.78;150.10;7.00;0.00
04.14.2020 11:45:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;46868.35;;;1322.21;24.00;0.00
04.14.2020 08:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;3003.56;27180.57;;959.64;1040.83;46.00;0.00
04.14.2020 08:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;457.33;5835.81;13099.26;126.73;583.22;737.22;50.00;0.00
04.14.2020 08:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;304.00;4668.00;13124.57;174.00;230.03;515.17;41.00;0.00
04.14.2020 08:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;;4712.47;11832.98;36.39;1057.10;531.69;33.00;0.00
04.14.2020 08:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;2537.29;5845.73;246.92;1030.05;1250.21;10.00;0.00
04.14.2020 08:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;479.27;5070.63;12834.74;270.31;742.70;715.85;27.00;0.00
