PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;end user throughput for DL[kbps]: QCI-1_DL;end user throughput for DL[kbps]: QCI-5_DL;end user throughput for DL[kbps]: QCI-9_DL;end user throughput for UL[kbps]: QCI-1_UL;end user throughput for UL[kbps]: QCI-5_UL;end user throughput for UL[kbps]: QCI-9_UL;Latency: Ave_Latency_DL;Latency: Ave_Latency_UL
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;;2847.10;10582.93;;930.15;844.13;27.00;0.00
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;;1148.11;7226.75;;26.65;126.51;33.00;0.00
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;816.00;3189.00;6821.42;49.03;210.32;278.25;79.00;0.00
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;;365.78;7767.95;;109.58;208.71;10.00;0.00
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;318.10;2833.04;18394.59;88.37;79.94;837.61;18.00;0.00
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;43.56;1785.83;16213.49;50.47;49.89;370.84;15.00;0.00
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;;2993.76;11825.53;;293.82;551.39;20.00;0.00
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;;4675.65;;510.74;39.26;7.00;0.00
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;;1944.68;18320.78;;16.57;488.25;52.00;0.00
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;412.00;4739.61;12457.02;113.98;116.02;764.67;46.00;0.00
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;217.92;1568.42;8252.91;191.36;34.42;101.74;62.00;0.00
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;;2144.98;25338.92;272.64;49.19;774.16;24.00;0.00
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;;1243.32;5476.13;;846.74;253.25;68.00;0.00
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;;2697.85;9406.15;;63.89;231.65;22.00;0.00
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;;5822.61;;;84.69;4.00;0.00
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;;1722.91;12149.55;;62.78;258.57;29.00;0.00
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;;1053.45;12168.83;47.08;66.21;260.70;21.00;0.00
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;;16504.00;;;629.28;13.00;0.00
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;376.00;8313.33;2093.67;43.57;117.12;394.22;7.00;0.00
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;288.90;3350.62;10749.16;107.68;760.89;179.08;70.00;0.00
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;137.60;1629.76;19234.28;67.23;54.18;651.53;13.00;0.00
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;149.08;1639.56;7391.21;147.53;34.20;181.01;61.00;0.00
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;250.25;7335.58;23492.94;57.79;216.42;775.27;31.00;0.00
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;;1935.37;9320.08;460.11;110.03;864.33;16.00;0.00
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;228.00;3586.64;11379.77;25.60;70.57;180.76;52.00;0.00
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;1888.00;4138.54;18087.77;136.81;628.29;954.22;15.00;0.00
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;;3378.97;23067.55;63.33;216.12;1861.37;51.00;0.00
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;;;4027.74;;624.23;364.00;6.00;0.00
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;169.23;1845.05;9154.86;155.27;59.97;142.81;32.00;0.00
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;;528.24;;;8.33;7.00;0.00
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;476.17;3452.75;8982.58;69.68;330.10;251.81;25.00;0.00
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;404.87;3794.98;8162.42;119.33;57.06;177.62;72.00;0.00
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;602.67;4458.73;16343.52;113.81;504.29;1206.24;31.00;0.00
04.22.2020 12:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;434.13;;5189.24;28.57;;257.04;7.00;0.00
04.22.2020 12:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;340.18;3196.66;14877.37;72.70;79.06;965.62;66.00;0.00
04.22.2020 12:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;;5213.15;19931.22;149.94;66.22;406.04;26.00;0.00
04.22.2020 12:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;;5888.15;;12.65;84.82;14.00;0.00
04.22.2020 12:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;198.33;1840.55;5052.91;32.37;49.70;104.85;56.00;0.00
04.22.2020 12:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;202.84;4416.88;9149.88;26.99;26.96;139.93;60.00;0.00
04.22.2020 12:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;;2732.28;18898.38;193.67;32.21;1840.42;18.00;0.00
04.22.2020 12:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;114.46;1933.35;8637.34;34.86;54.40;205.33;73.00;0.00
04.22.2020 12:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;323.82;3804.21;13678.07;104.61;328.51;910.65;90.00;0.00
04.22.2020 12:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;319.01;4347.70;12019.78;43.92;52.59;152.90;46.00;0.00
04.22.2020 12:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;216.00;2771.29;20461.71;104.11;142.03;789.78;22.00;0.00
04.22.2020 12:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;248.00;9992.00;18150.59;496.12;33.91;1068.47;14.00;0.00
04.22.2020 12:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;198.44;2217.56;9081.42;21.57;102.26;124.67;74.00;0.00
04.22.2020 12:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;;9160.41;;;84.01;6.00;0.00
04.22.2020 12:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;249.60;1716.80;11458.13;18.32;90.15;237.51;18.00;0.00
04.22.2020 12:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;129.35;1324.63;7286.02;23.29;44.73;140.00;55.00;0.00
04.22.2020 12:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;114.74;310.05;4929.47;94.94;33.10;103.32;92.00;0.00
04.22.2020 12:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;184.74;7754.00;18708.62;182.65;108.06;838.92;29.00;0.00
04.22.2020 12:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;151.18;1969.43;6977.05;19.02;47.74;133.23;58.00;0.00
04.22.2020 12:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;482.18;3848.73;21095.04;22.88;264.26;692.79;54.00;0.00
04.22.2020 12:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;1405.39;1557.33;;6.49;211.49;9.00;0.00
04.22.2020 12:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;;;13666.71;;111.70;124.09;8.00;0.00
04.22.2020 12:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;247.64;3407.94;13337.14;23.95;59.10;275.55;42.00;0.00
04.22.2020 12:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;189.38;4320.56;13710.92;27.31;183.94;816.11;98.00;0.00
04.22.2020 12:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;260.02;3734.73;14564.63;72.07;791.60;349.01;65.00;0.00
04.22.2020 12:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;287.33;2552.11;13749.98;135.68;25.88;151.82;39.00;0.00
04.22.2020 12:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;;3421.02;8514.76;;128.74;149.43;33.00;0.00
04.22.2020 12:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;174.22;819.53;6658.74;40.83;30.36;160.26;37.00;0.00
04.22.2020 12:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;;12275.48;;;221.64;24.00;0.00
04.22.2020 12:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;208.29;4752.00;6451.20;166.36;600.45;85.09;61.00;0.00
04.22.2020 12:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;331.28;7085.04;18041.84;196.10;124.72;925.69;27.00;0.00
04.22.2020 12:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;108.80;7533.09;21838.78;122.42;165.33;1050.25;20.00;0.00
04.22.2020 13:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;248.43;1137.55;5826.77;52.21;39.88;136.72;20.00;0.00
04.22.2020 13:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;764.63;1935.95;;5.77;171.54;7.00;0.00
04.22.2020 13:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;195.37;1115.57;17332.92;144.00;59.18;643.68;69.00;0.00
04.22.2020 13:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;;2917.52;2382.34;;170.35;301.03;6.00;0.00
04.22.2020 13:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;163.72;5240.53;23476.69;74.80;468.78;2282.21;20.00;0.00
04.22.2020 13:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;254.06;2951.36;30097.00;166.56;796.41;1099.20;42.00;0.00
04.22.2020 13:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;;3301.19;16742.38;572.00;317.42;642.74;15.00;0.00
04.22.2020 13:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;400.76;3537.39;13435.43;56.30;87.28;178.15;50.00;0.00
04.22.2020 13:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;;5048.96;13228.29;;137.10;382.69;24.00;0.00
04.22.2020 13:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;285.67;2119.23;22156.04;98.22;153.05;318.23;50.00;0.00
04.22.2020 13:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;1888.00;6082.24;22902.99;87.06;364.61;726.97;42.00;0.00
04.22.2020 13:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;2311.26;1857.78;;6.04;1629.22;5.00;0.00
04.22.2020 13:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;167.58;920.63;5647.51;36.68;44.87;206.71;20.00;0.00
04.22.2020 13:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;242.88;3318.18;18530.96;185.42;649.33;1570.10;81.00;0.00
04.22.2020 13:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;;8837.14;20264.45;45.76;694.72;4753.38;26.00;0.00
04.22.2020 13:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;280.90;3292.88;11663.23;19.84;52.37;250.80;40.00;0.00
04.22.2020 13:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;116.41;2832.61;11113.81;16.61;68.04;108.25;39.00;0.00
04.22.2020 13:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;288.00;1867.23;21557.46;110.13;346.85;527.34;65.00;0.00
