PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;Throughput: CellThroughput_DL_QCI_1;Throughput: CellThroughput_UL_QCI_1;Throughput: UserThroughput_DL_QCI_1;Throughput: UserThroughput_DL_QCI_5;Throughput: UserThroughput_DL_QCI_9;Throughput: UserThroughput_UL_QCI_1;Throughput: UserThroughput_UL_QCI_5;Throughput: UserThroughput_UL_QCI_9;PDCD_SDU_QCI_1: PDCD_SDU_DL_QCI_1;PDCD_SDU_QCI_1: PDCD_SDU_UL_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_QCI_1;E-RAB_Success_Ratio: ERAB_Attempt_QCI_1;E-RAB_Success_Ratio: ERAB_Success_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_nonGBR;E-RAB_Drop_Ratio: ERAB_Drop_Ratio_QCI_1;E-RAB_Drop_Ratio: ERAB_ReleaseReq_QCI_1;Pre-emption_Ratio: Pre_emption_Ratio;SRVCC: SRVCC_Failure_Ratio;SRVCC: SRVCC_HO_Prep;SRVCC: SRVCC_HO_Attempt;SRVCC: SRVCC_HO_Success
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;9.00;5.00;182.11;;10871.97;13.34;;415.92;156;88;;0;0;100.00;;;;100.00;1;1;1
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;10.00;12.00;266.34;2599.37;8500.06;98.04;384.44;424.05;28028;30315;100.00;6;6;98.39;;;;;0;0;0
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;0.00;0.00;;;11618.24;;;131.54;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;9.00;9.00;225.66;1637.71;6677.31;188.54;724.66;413.77;2122;2751;100.00;2;2;100.00;;;;;0;0;0
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;9.00;9.00;228.80;3147.45;12768.92;79.60;446.27;840.19;4477;4305;100.00;4;4;100.00;;;;;0;0;0
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;9.00;7.00;109.86;2793.75;7751.69;17.32;82.18;869.28;1488;1178;100.00;1;1;99.79;;;;;0;0;0
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;12.00;12.00;158.40;1700.53;25627.36;69.89;25.86;1052.26;10209;10661;100.00;2;2;99.59;;;;;0;0;0
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;9.00;10.00;225.40;2984.60;11455.46;17.50;30.88;127.70;5570;6321;100.00;3;3;99.48;;;;;0;0;0
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;11.00;8.00;230.96;2113.92;10824.64;98.80;101.48;171.41;10071;7115;100.00;6;6;99.79;;;;;0;0;0
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;8.00;10.00;217.07;3825.53;1645.93;100.46;141.68;42.04;3861;4632;;0;0;100.00;;;;;0;0;0
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;0.00;0.00;;;28164.96;;;580.83;0;0;;0;0;92.31;;;;;0;0;0
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;0.00;0.00;;;;;;333.38;0;0;;0;0;;;;;;0;0;0
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;10.00;10.00;359.89;2881.66;13445.45;31.42;31.21;179.20;6341;5695;100.00;4;4;99.88;;;;100.00;10;1;1
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;0.00;0.00;;;888.00;;;784.00;0;0;;0;0;100.00;;;;;0;0;0
