PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS type;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;Throughput: CellThroughput_DL_QCI_1;Throughput: CellThroughput_UL_QCI_1;Throughput: UserThroughput_DL_QCI_1;Throughput: UserThroughput_DL_QCI_5;Throughput: UserThroughput_DL_QCI_9;Throughput: UserThroughput_UL_QCI_1;Throughput: UserThroughput_UL_QCI_5;Throughput: UserThroughput_UL_QCI_9;PDCD_SDU_QCI_1: PDCD_SDU_DL_QCI_1;PDCD_SDU_QCI_1: PDCD_SDU_UL_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_QCI_1;E-RAB_Success_Ratio: ERAB_Attempt_QCI_1;E-RAB_Success_Ratio: ERAB_Success_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_nonGBR;E-RAB_Drop_Ratio: ERAB_Drop_Ratio_QCI_1;E-RAB_Drop_Ratio: ERAB_ReleaseReq_QCI_1;Pre-emption_Ratio: Pre_emption_Ratio;SRVCC: SRVCC_Failure_Ratio;SRVCC: SRVCC_HO_Prep;SRVCC: SRVCC_HO_Attempt;SRVCC: SRVCC_HO_Success
04.14.2020 09:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;0.00;0.00;;2679.38;2804.63;;634.56;102.66;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 09:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.14.2020 09:15:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;0.00;0.00;;;3290.67;;;174.78;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 09:15:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;0.00;0.00;;;4216.00;;;1953.03;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 09:30:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;0.00;0.00;;;2750.22;;;101.57;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 09:30:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.14.2020 09:45:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;0.00;0.00;;;6412.83;;;505.56;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 09:45:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;0.00;0.00;;;13571.01;;;608.73;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 10:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;0.00;0.00;;20576.00;;;1184.00;520.00;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 10:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;0.00;0.00;;;4974.94;;;85.28;0;0;;0;0;100.00;;;;;0;0;0
